20
1239
0 20
48 4 0
47.2904 4.54948 1
46.3442 5.01228 2
45.1812 5.34777 3
43.3763 5.47897 4
41.4057 5.62833 5
39.2737 5.46049 6
36.7903 5.23694 7
33.9607 4.66096 8
30.9772 4.28619 9
28.2431 3.78642 10
26.1463 3.66176 11
24.0761 3.5622 12
21.8631 3.56532 13
19.6867 3.54615 14
17.7543 3.46378 15
16.0546 3.36412 16
14.7143 3.26174 17
13.9706 2.9319 18
13.4418 2.72095 19
0 20
52 4 0
51.2924 4.55387 1
50.3493 5.04483 2
49.1842 5.41495 3
47.3831 5.56484 4
45.4059 5.73066 5
43.2558 5.54356 6
40.7561 5.30289 7
37.9005 4.72611 8
34.9167 4.34758 9
32.1682 3.83401 10
30.0621 3.70257 11
27.9883 3.59953 12
25.7517 3.60663 13
23.5485 3.5913 14
21.611 3.5041 15
19.8973 3.40183 16
18.5389 3.29214 17
17.7639 2.94627 18
17.2077 2.72758 19
0 20
56 4 0
55.2953 4.55583 1
54.3574 5.0585 2
53.1922 5.43263 3
51.3964 5.59022 4
49.4151 5.76067 5
47.2457 5.56069 6
44.7357 5.31507 7
41.8623 4.73283 8
38.8772 4.35356 9
36.1231 3.82914 10
34.0063 3.69601 11
31.9284 3.59348 12
29.6798 3.60463 13
27.4582 3.59621 14
25.5193 3.50763 15
23.7861 3.40195 16
22.413 3.29056 17
21.6224 2.93974 18
21.0397 2.72389 19
0 20
120 4 0
119.193 4.62288 1
118.17 5.0758 2
116.64 5.51707 3
114.767 5.71906 4
112.675 5.95811 5
110.386 5.62146 6
107.8 5.26917 7
104.852 4.70346 8
101.8 4.08776 9
98.978 3.46232 10
96.6072 3.19316 11
94.1648 3.25 12
91.6568 3.54085 13
89.1356 3.57547 14
87.0179 3.38104 15
85.0117 3.24541 16
83.3708 3.07501 17
82.3381 2.68986 18
81.5213 2.46293 19
0 20
128 4 0
127.14 4.66029 1
126.059 5.04059 2
124.499 5.42399 3
122.588 5.59754 4
120.498 5.82911 5
118.185 5.48847 6
115.587 5.14355 7
112.629 4.5805 8
109.54 4.01023 9
106.702 3.39184 10
104.342 3.12144 11
101.939 3.11898 12
99.4782 3.23341 13
96.982 3.25039 14
94.8698 3.05055 15
92.8618 2.91653 16
91.2023 2.7772 17
90.1586 2.39103 18
89.31 2.19875 19
0 20
132 4 0
131.123 4.67614 1
130.029 5.03078 2
128.443 5.37823 3
126.523 5.53518 4
124.431 5.76117 5
122.104 5.41617 6
119.498 5.0735 7
116.537 4.51383 8
113.443 3.94944 9
110.592 3.33863 10
108.266 3.09036 11
105.901 3.00626 12
103.444 3.0997 13
100.956 3.10517 14
98.8504 2.90413 15
96.8377 2.77395 16
95.1735 2.63882 17
94.1231 2.25074 18
93.2649 2.06424 19
0 20
64 8 0
63.3054 8.56043 1
62.3775 9.07544 2
61.2143 9.45888 3
59.434 9.64596 4
57.4531 9.81987 5
55.2695 9.58281 6
52.7392 9.31147 7
49.8659 8.66113 8
46.8652 8.24168 9
44.1069 7.64784 10
41.9608 7.5112 11
39.873 7.41065 12
37.5858 7.44084 13
35.3452 7.43578 14
33.3972 7.3424 15
31.5609 7.23063 16
30.171 7.10144 17
29.3554 6.72784 18
28.7623 6.49272 19
0 5
4 12 0
3.35234 12.5456 1
2.48874 12.7848 2
1.48291 12.9346 3
-0.232815 13.026 4
1 5
88 12 0
89.045 13.2615 1
90.2926 16.2001 2
91.5846 20.4223 3
92.754 24.7024 4
1 20
92 12 0
93.1837 13.069 1
94.3239 15.8333 2
95.4087 19.9978 3
96.4295 24.1751 4
96.8042 26.5556 5
96.6876 24.7263 6
95.4982 21.2056 7
93.497 16.9808 8
90.9385 13.4341 9
88.1866 11.1885 10
85.7712 10.6295 11
82.9934 11.8305 12
79.6376 14.2018 13
75.8688 16.1198 14
72.3679 15.7894 15
69.9255 15.2124 16
67.7779 13.6347 17
66.45 11.4344 18
65.7006 9.16326 19
1 6
96 12 0
97.1536 12.8965 1
98.2011 15.2162 2
98.977 18.9052 3
99.758 22.7061 4
100.041 24.8466 5
0 8
116 12 0
115.252 12.6247 1
114.37 13.2406 2
112.863 13.7191 3
111.043 13.9528 4
108.962 14.2256 5
106.683 13.8746 6
104.103 13.514 7
0 10
132 12 0
131.121 12.7106 1
130.036 13.0968 2
128.453 13.4594 3
126.546 13.6216 4
124.459 13.8575 5
122.133 13.4925 6
119.531 13.134 7
116.567 12.5536 8
113.475 11.9241 9
0 20
140 12 0
139.1 12.7211 1
138 13.0865 2
136.394 13.4186 3
134.464 13.5499 4
132.374 13.7813 5
130.012 13.4045 6
127.399 13.0526 7
124.421 12.4804 8
121.32 11.9061 9
118.439 11.2673 10
116.165 11.0191 11
113.886 10.7853 12
111.428 10.8465 13
108.947 10.8405 14
106.85 10.6111 15
104.82 10.4632 16
103.137 10.3299 17
102.068 9.90208 18
101.191 9.71095 19
0 20
144 12 0
143.086 12.7267 1
141.982 13.0733 2
140.372 13.3988 3
138.439 13.5244 4
136.345 13.7484 5
133.967 13.3693 6
131.348 13.019 7
128.364 12.4509 8
125.261 11.8782 9
122.37 11.2393 10
120.109 11.0123 11
117.839 10.7763 12
115.381 10.8326 13
112.903 10.8225 14
110.811 10.5992 15
